127.0.0.1 - - [16/Jun/2016:09:49:24 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:26 +0900] "GET /StudyProject/WEB-INF/jsp/StudyRoom/StudyRoomMain.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:35 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 16494
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:35 +0900] "GET /StudyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:35 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:35 +0900] "GET /StudyProject/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:35 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:35 +0900] "GET /StudyProject/css/owl.theme.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:35 +0900] "GET /StudyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:35 +0900] "GET /StudyProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:35 +0900] "GET /StudyProject/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:35 +0900] "GET /StudyProject/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:36 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:36 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:36 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:36 +0900] "GET /StudyProject/images/header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 11010
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/css/preloader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/images/shape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/js/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/images/scroll.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:41 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:43 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 16494
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:43 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:43 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:43 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:45 +0900] "GET /StudyProject/join_agree.room HTTP/1.1" 200 11085
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:45 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:45 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:45 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:45 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:47 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 16494
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:47 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:47 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:47 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:47 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/Jun/2016:09:49:47 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
