127.0.0.1 - - [30/Jul/2016:20:16:06 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 19164
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /StudyProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /StudyProject/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /StudyProject/css/owl.theme.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /StudyProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /StudyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /StudyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /StudyProject/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /StudyProject/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:16 +0900] "GET /StudyProject/images/header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:17 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:18 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 19164
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12238
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /StudyProject/css/preloader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /StudyProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /StudyProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /StudyProject/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /StudyProject/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /StudyProject/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /StudyProject/images/shape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /StudyProject/js/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:19 +0900] "GET /StudyProject/images/scroll.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:20 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12238
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:27 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 10975
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:28 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 10975
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:29 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 19164
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:29 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [30/Jul/2016:20:16:30 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 19164
